Sample;M;intensity
brain1;2963;19118844
brain1;2963.1;17981727
brain1;2977.1;11437623
brain1;2979.1;5106668
brain1;2980;9895588
brain1;2980.1;10209261
brain1;2981.1;61499557
brain1;2986.2;14446547
brain1;2999.1;7097982
brain1;3027.1;38739314
brain1;3028.1;568982024
brain1;3029.1;56937757
brain1;3045.1;38748700
brain1;3050.1;31653504
brain1;3066;5167008
brain1;3069.1;9575250
brain1;3073.2;45263086
brain1;3076.1;10852567
brain1;3084.1;12493189
brain1;3085.1;21676656
brain1;3086.1;207072846
brain1;3087.1;11037078
brain1;3101.1;18363480
brain1;3102.1;18950333
brain1;3102.2;30394751
brain1;3103.2;20518953
brain1;3104.2;26878851
brain1;3108;81169765
brain1;3108.1;10680337
brain1;3118.2;17245579
brain1;3120.2;30079796
brain1;3125.1;11405979
brain1;3142.1;36224530
brain1;3142.2;17930485
brain1;3144.2;119475756
brain1;3174.1;27243389
brain1;3174.2;75471979
brain1;3175.2;6185688
brain1;3230.2;10630659
brain1;3231.2;151839193
brain1;3232.2;28362373
brain1;3245.2;39034881
brain1;3247.2;219870851
brain1;3249.2;485092469
brain1;3264.2;155666461
brain1;3265.2;17574226
brain1;3272.2;10979752
brain1;3284.2;9848483
brain1;3287.2;29751983
brain1;3289.2;69374810
brain1;3292.3;38205703
brain1;3294.3;28788846
brain1;3317.2;5766048
brain1;3318.2;6201781
brain1;3319.2;181088193
brain1;3320.2;5102820
brain1;3336.3;50103311
brain1;3377.2;12299025
brain1;3393.2;86070807
brain1;3393.3;24459286
brain1;3394.2;406599003
brain1;3396.2;7350340
brain1;3410.3;48622030
brain1;3411.3;90738829
brain1;3426.3;15715993
brain1;3427.3;7931965
brain1;3434.3;30021570
brain1;3438.3;9474017
brain1;3439.3;33467096
brain1;3522.3;24558310
brain1;3536.3;7383189
brain1;3538.3;7812960
brain1;3539.3;172657673
brain1;3584.3;18784835
brain1;3608.3;17147026
brain1;3625.3;28831618
brain1;3644.4;58803903
brain1;3661.4;10925335
brain1;3684.3;99231435
